obj,rel,sbj
95,3,102
28,3,55
1,3,42
38,3,62
32,3,33
9,3,58
49,3,70
46,3,101
80,3,97
35,3,64
36,3,52
51,3,80
64,3,66
23,3,25
38,3,69
29,3,79
27,3,77
57,3,65
22,3,96
20,3,62
7,3,98
73,3,89
49,3,78
21,3,66
17,3,48
88,3,103
61,3,65
12,3,36
79,3,90
18,3,60
67,3,89
37,3,89
6,3,83
2,3,69
28,3,62
35,3,53
85,3,103
30,3,85
2,3,102
81,3,88
12,3,77
29,3,33
1,3,78
7,3,96
78,3,89
3,3,22
64,3,96
23,3,55
45,3,66
45,3,89
33,3,45
22,3,42
39,3,57
80,3,84
12,3,100
1,3,21
13,3,102
8,3,37
18,3,61
17,3,66
7,3,89
16,3,29
39,3,74
65,3,97
21,3,89
33,3,98
0,3,52
52,3,100
16,3,68
16,3,94
85,3,91
78,3,79
11,3,28
4,3,39
12,3,94
65,3,75
9,3,25
4,3,69
64,3,73
22,3,89
11,3,102
46,3,60
40,3,102
13,3,38
4,3,101
92,3,93
13,3,18
13,3,20
25,3,41
73,3,82
35,3,79
24,3,37
39,3,51
0,3,45
39,3,54
36,3,66
27,3,78
20,3,23
75,3,80
46,3,99
42,3,68
1,3,45
66,3,89
30,3,69
38,3,57
36,3,68
14,3,61
19,3,58
47,3,53
28,3,60
22,3,90
32,3,98
84,3,99
5,3,85
2,3,61
2,3,99
7,3,24
11,3,46
41,3,102
37,3,45
83,3,91
20,3,40
11,3,74
67,3,98
60,3,99
18,3,99
52,3,66
29,3,89
45,3,52
59,3,79
48,3,93
1,3,3
37,3,68
7,3,42
12,3,96
53,3,93
42,3,66
22,3,98
63,3,101
15,3,16
3,3,16
22,3,77
45,3,67
8,3,88
5,3,80
20,3,60
60,3,61
50,3,72
36,3,88
27,3,70
84,3,97
1,3,7
83,3,88
79,3,89
75,3,95
63,3,74
24,3,45
91,3,103
98,3,100
53,3,91
18,3,46
42,3,79
67,3,78
3,3,79
7,3,17
39,3,99
82,3,86
10,3,46
52,3,67
14,3,97
2,3,95
0,3,53
11,3,13
22,3,68
75,3,97
7,3,15
36,3,37
31,3,41
82,3,92
99,3,102
32,3,59
93,3,103
74,3,102
53,3,83
14,3,75
1,3,59
13,3,58
29,3,66
33,3,36
37,3,98
36,3,67
25,3,58
3,3,67
2,3,11
37,3,66
48,3,92
34,3,97
1,3,68
24,3,77
57,3,74
57,3,60
13,3,63
47,3,87
0,3,94
7,3,35
49,3,67
49,3,77
75,3,99
49,3,89
10,3,69
62,3,101
47,3,81
47,3,88
64,3,67
4,3,80
18,3,74
17,3,73
62,3,65
0,3,82
4,3,61
12,3,66
27,3,96
3,3,52
57,3,97
40,3,55
9,3,55
43,3,54
16,3,32
24,3,73
9,3,60
45,3,59
12,3,21
31,3,58
9,3,20
14,3,84
81,3,85
87,3,91
57,3,80
24,3,59
64,3,92
70,3,96
4,3,14
17,3,67
75,3,101
51,3,63
3,3,15
13,3,44
91,3,93
94,3,98
17,3,24
40,3,62
17,3,83
53,3,66
47,3,48
4,3,34
13,3,61
13,3,26
97,3,102
77,3,98
47,3,91
41,3,65
38,3,46
10,3,95
3,3,77
70,3,100
2,3,10
9,3,40
6,3,43
8,3,36
69,3,75
42,3,89
16,3,42
30,3,75
32,3,68
70,3,89
54,3,57
38,3,39
41,3,101
38,3,75
14,3,43
6,3,81
13,3,28
4,3,11
7,3,36
94,3,100
63,3,97
4,3,75
32,3,73
16,3,89
14,3,39
34,3,93
3,3,70
22,3,29
38,3,97
